3719601;Musée de l'Hôtel de Ville;CENTRE;RICHELIEU;2007;INDRE ET LOIRE;01/02/2003;933;205;1138;;
3722601;Musée Municipal;CENTRE;SAINTE-MAURE-DE-TOURAINE;2007;INDRE ET LOIRE;01/02/2003;65;30;95;;
4125801;Musée Archéologique;CENTRE;THESEE;2007;LOIR ET CHER;01/02/2003;1485;244;1729;;
4502801;Musée Daniel Vannier;CENTRE;BEAUGENCY;2007;LOIRET;01/02/2003;;;;F;
4508201;Musée de la Marine de Loire;CENTRE;CHATEAUNEUF-SUR-LOIRE;2007;LOIRET;01/02/2003;8912;4337;13249;;
4520801;Musée du Gatinais;CENTRE;MONTARGIS;2007;LOIRET;27/12/2002;240;165;405;;
4523403;Musée des Beaux-Arts;CENTRE;ORLEANS;2007;LOIRET;06/01/2002;7331;46185;53516;;
1038703;Musée Vauluisant - Musée de la Bonneterie;CHAMPAGNE-ARDENNES;TROYES;2007;AUBE;01/02/2003;5340;0;5340;;"1038702 ; 1038703"
5212101;Musée des Beaux-Arts et d'Archéologie;CHAMPAGNE-ARDENNES;CHAUMONT;2007;HAUTE-MARNE;01/02/2003;761;3504;4265;;
5123001;Musée Municipal d'Epernay;CHAMPAGNE-ARDENNES;EPERNAY;2007;MARNE;01/02/2003;;;;F;
5145401;Musée des Beaux-Arts de Saint-Denis;CHAMPAGNE-ARDENNES;REIMS;2007;MARNE;06/01/2002;13136;33468;46604;;
2505605;Musée de la résistance et de la Déportation;FRANCHE-COMTE;BESANCON;2007;DOUBS;01/02/2003;62073;0;62073;;
7027901;Musée Baron Martin;FRANCHE-COMTE;GRAY;2007;HAUTE-SAONE;01/02/2003;6312;0;6312;;
3930002;Musée des Beaux-Arts;FRANCHE-COMTE;LONS-LE-SAUNIER;2007;JURA;01/02/2003;878;3363;4241;;
3943401;Musée Municipal de Poligny;FRANCHE-COMTE;POLIGNY;2007;JURA;01/02/2003;;;;F;
9712002;Musée Départemental Victor Schoelcher;GUADELOUPE;POINTE-A-PITRE;2007;GUADELOUPE;01/02/2003;3100;779;3879;;
9730201;Musée Territorial Alexandre Franconie;GUYANE;CAYENNE;2007;GUYANE;01/02/2003;2359;2715;5074;;
9122301;Musée Intercommunal d'Etampes;ILE-DE-FRANCE;ETAMPES;2007;ESSONNE;01/02/2003;972;7527;8499;;
9201204;Musée Belmondo et de la Sculpture Figurative du XXè siècle;ILE-DE-FRANCE;BOULOGNE-BILLANCOURT;2007;HAUTS DE SEINE;2007-03-15 00:00:00;;;;F;
9201201;Musée des Années Trente;ILE-DE-FRANCE;BOULOGNE-BILLANCOURT;2007;HAUTS DE SEINE;01/02/2003;28005;0;28005;;
9204001;Musée Français de la Carte à Jouer;ILE-DE-FRANCE;ISSY-LES-MOULINEAUX;2007;HAUTS DE SEINE;01/02/2003;3296;12764;16060;;
9206303;Musée d'Histoire Locale - Mémoire de la Ville;ILE-DE-FRANCE;RUEIL-MALMAISON;2007;HAUTS DE SEINE;01/02/2003;0;2694;2694;;
9206301;Musée National des Châteaux de Malmaison et de Bois-Préau;ILE-DE-FRANCE;RUEIL-MALMAISON;2007;HAUTS DE SEINE;06/01/2002;35524;25158;60682;;
7510508;Galerie d'Anatomie Comparée et de Paléontologie (Muséum d'Histoire Naturelle);ILE-DE-FRANCE;PARIS;2007;PARIS;06/01/2002;189700;50755;240455;;
7510512;Galerie d’entomologie (Muséum national d'histoire naturelle);ILE-DE-FRANCE;PARIS;2007;PARIS;06/01/2002;;;;F;
7511605;Musée National des Arts et des Traditions Populaires (MuCem);ILE-DE-FRANCE;PARIS;2007;PARIS;06/01/2002;6342;19238;25580;;
7510405;Maison de Victor Hugo;ILE-DE-FRANCE;PARIS;2007;PARIS;08/07/2004;18398;111464;129862;;
7510602;Musée National Eugène Delacroix;ILE-DE-FRANCE;PARIS;2007;PARIS;06/01/2002;28509;9916;38425;;
7511701;Musée National Jean-Jacques Henner;ILE-DE-FRANCE;PARIS;2007;PARIS;06/01/2002;;;;F;
7510701;Musée de l'Armée;ILE-DE-FRANCE;PARIS;2007;PARIS;06/01/2002;891167;251204;1142371;;
7510501;Musée du Moyen Age-Thermes et Hôtel de Cluny;ILE-DE-FRANCE;PARIS;2007;PARIS;06/01/2002;165405;128570;293975;;
7510517;Musée de l'Assistance Publique - Hôpitaux de Paris;ILE-DE-FRANCE;PARIS;2007;PARIS;02/10/2002;10032;6139;16171;;
7510402;Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou);ILE-DE-FRANCE;PARIS;2007;PARIS;06/01/2002;2696857;0;2696857;;
7702201;Musée Départemental de l'Ecole de Barbizon - Auberge Ganne;ILE-DE-FRANCE;BARBIZON;2007;SEINE ET MARNE;01/02/2003;18182;6975;25157;;
7713101;Musée Municipal des Capucins;ILE-DE-FRANCE;COULOMMIERS;2007;SEINE ET MARNE;01/02/2003;1293;2037;3330;;
7728501;Musée Henri Chapu;ILE-DE-FRANCE;LE MEE-SUR-SEINE;2007;SEINE ET MARNE;01/02/2003;0;1410;1410;;
7728402;Musée de la Grande Guerre du Pays de Meaux;ILE-DE-FRANCE;MEAUX;2007;SEINE ET MARNE;2007-03-15 00:00:00;;;;F;
7737901;Musée de Provins et du Provinois;ILE-DE-FRANCE;PROVINS;2007;SEINE ET MARNE;01/02/2003;21180;0;21180;;
9304801;Musée de l'Histoire Vivante;ILE-DE-FRANCE;MONTREUIL-SOUS-BOIS;2007;SEINE SAINT-DENIS;01/02/2003;2320;2000;4320;;
