id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,year,stats,tags,description
3018901,1754343,Musée d'Histoire Naturelle et de Préhistoire,,Rue de la Grille,30300,Beaucaire,France,fr,open,43.807104499999994,4.645857409267913,,,,2002,payant:29212;gratuit:0;label-date:06/01/2002,label:musee de france,
3020202,73758873,Musée Départemental d'Art Sacré du Gard,,Rue Saint-Jacques,30130,Pont-Saint-Esprit,France,fr,open,44.25521465,4.65104364282573,,,,2002,payant:1848;gratuit:6326,label:musee de france,
3026901,464927075,Musée des Vallées Cévenoles,,Rue de l'Industrie,30270,Saint-Jean-du-Gard,France,fr,open,44.103546050000006,3.8861922108504037,,,,2002,payant:14077;gratuit:1508,label:musee de france,
3403202,1474240591,Musée du Biterrois,,Rampe du 96e Régiment d'Infanterie,34500,Béziers,France,fr,open,43.3382478,3.2149323,,,,2002,payant:12933;gratuit:3351,label:musee de france,
3417206,2192962,Agropolis-Muséum,,Avenue Agropolis,34093,Montpellier,France,fr,open,43.6462942,3.8679405365376005,,,,2002,payant:4819;gratuit:13698,label:musee de france,
3419901,274270736,Musée de Vulliod Saint-Germain,,Impasse Canabassière,34120,Pézenas,France,fr,open,43.46137195,3.4230444718898876,,,,2002,payant:2535;gratuit:2982,label:musee de france,
3428401,178387339,Musée de Préhistoire Régionale et du Mégalithisme,,Passage de la Pourtanelle,34220,Saint-Pons-de-Thomières,France,fr,open,43.488682499999996,2.758707373774508,,,,2002,payant:2305;gratuit:236,label:musee de france,
6604902,2004488993,Musée départemental d'Art Moderne,,Boulevard du Maréchal Joffre,66400,Céret,France,fr,open,42.4859058,2.7484863,,,,2002,payant:46690;gratuit:13478,label:musee de france,
6618101,1874518307,Musée de Cerdagne,,Impasse de la Vigne,66800,Sainte-Léocadie,France,fr,open,42.4364819,2.0026983,,,,2002,payant:2633;gratuit:263,label:musee de france,
5439501,49791497,Musée de l'Ecole de Nancy,,Rue du Sergent Blandan,54100,Nancy,France,fr,open,48.680552000000006,6.166075819038056,,,,2002,payant:29325;gratuit:18731,label:musee de france,
