osm_id,name,name:en,int_name,old_name,old_name:en,number,street,postal_code,city,country,country_code,lat,lon,website,phone,fax,tags,description,date_added,wikidata
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,http://www.ville-moret-sur-loing.fr/rubrique.php?id=68,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
130102845,,,,,,,,75007,Paris,France,fr,48.8570374,2.3118779,,,,,,2019-03-29T18:05:13Z,
,Musée de l'Armée,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,The Army Museum,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,http://www.musee-armee.fr/,,,,,,
,,,,,,,,,,,,,,,,,,,,Q1996069
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
185881594,,,,,,,,75007,Paris,France,fr,48.8607204,2.2960844,,,,osm:museum,,2011-07-18T13:59:10Z,
185881595,,,,,,,,75007,Paris,France,fr,48.8601143,2.2970269,,,,osm:museum,,2010-09-16T00:14:41Z,
185881597,,,,,,,,75007,Paris,France,fr,48.8605798,2.2984532,,,,osm:museum,,2010-09-16T00:13:58Z,
185881598,,,,,,,,75007,Paris,France,fr,48.8607626,2.2995103,,,,osm:museum,,2010-09-16T00:15:28Z,
185881599,,,,,,,,75007,Paris,France,fr,48.8618503,2.298925,,,,osm:museum,,2010-05-04T23:28:19Z,
185881600,,,,,,,,75015,Paris,France,fr,48.8617537,2.2985522,,,,,,2020-11-05T02:59:57Z,
,,,,,,,,,,,,,,,,,osm:museum,,,
185881601,,,,,,,,75015,Paris,France,fr,48.8614495,2.297571,,,,,,2020-11-05T02:59:57Z,
,,,,,,,,,,,,,,,,,osm:museum,,,
185881603,,,,,,,,75015,Paris,France,fr,48.8613167,2.297232,,,,,,2020-11-05T02:59:57Z,
,,,,,,,,,,,,,,,,,osm:museum,,,
185881604,,,,,,,,75007,Paris,France,fr,48.8610315,2.2966254,,,,,,2020-11-05T02:59:57Z,
,,,,,,,,,,,,,,,,,osm:museum,,,
192222321,Musée des Prisons,,,,,,,77300,Fontainebleau,France,fr,48.4098118,2.7033875,,,,,,2008-08-13T11:51:26Z,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
203508133,,,,,,,,06000,Nice,France,fr,43.6955693,7.258592,,,,osm:museum,,2019-06-30T23:12:50Z,
203508134,,,,,,,,06046,Nice,France,fr,43.6956495,7.2591948,,,,osm:museum,,2019-06-30T23:12:50Z,
