id,osm_id,name,status,year,stats,tags
6706101,,Musée de Bouxwiller et du pays de hanau,open,2005,payant:1387;gratuit:1772;total:3159;mdf-date:01/02/2003,;label:musee de france
6730001,,Musée de la Chartreuse,open,2005,payant:3337;gratuit:79;total:3416;mdf-date:01/02/2003,;label:musee de france
6748207,,Musée Historique,closed,2005,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
6754401,,Musée Westercamp,closed,2005,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
6755001,,Musée de la Bataille du 6 Août 1870,open,2005,payant:3100;gratuit:242;total:3342;mdf-date:01/02/2003,;label:musee de france
6806301,,Musée de la Porte de Thann,closed,2005,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
6816201,,Musée d'Histoire Local,open,2005,payant:358;gratuit:149;total:507;mdf-date:01/02/2003,;label:musee de france
6822406,,Musée du Sapeur Pompier d'Alsace,closed,2005,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
6833401,,Musée des Amis de Thann,open,2005,payant:669;gratuit:1283;total:1952;mdf-date:01/02/2003,;label:musee de france
2452001,,Musée-Aquarium,open,2005,payant:2977;gratuit:0;total:2977;mdf-date:01/02/2003,;label:musee de france
2429101,,Musée Eugène Le Roy et des Vieux Métiers,closed,2005,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
2452002,,Musée de Sarlat et du Périgord Noir,closed,2005,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
3305801,,Musée d'Art et d'Histoire du Pays Blayais,closed,2005,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
3306304,,Musée d'Aquitaine,open,2005,payant:13573;gratuit:86307;total:99880;mdf-date:06/01/2002,;label:musee de france
3306306,,Musée des Arts Décoratifs,open,2005,payant:16389;gratuit:22017;total:38406;mdf-date:01/02/2003,;label:musee de france
3306301,,CAPC Musée d'Art Contemporain de Bordeaux,open,2005,payant:12870;gratuit:74553;total:87423;mdf-date:01/02/2003,;label:musee de france
3335201,,Musée Municipal,closed,2005,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
3324302,,Musée Historique ou du Vieux Libourne (Robin),closed,2005,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
6410202,,Musée Bonnat,open,2005,payant:13733;gratuit:12971;total:26704;mdf-date:01/02/2003,;label:musee de france
0304801,,Musée Charles-Louis Philippe,open,2005,payant:254;gratuit:0;total:254;mdf-date:01/02/2003,;label:musee de france
0319001,,Musée Anne de Beaujeu,open,2005,payant:10622;gratuit:0;total:10622;mdf-date:01/02/2003,;label:musee de france
0331002,,Musée des Arts D'Afrique et D'Asie,open,2005,payant:2928;gratuit:1094;total:4022;mdf-date:01/02/2003,;label:musee de france
1501402,,Musée d'Art et d'Archéologie,open,2005,payant:992;gratuit:18646;total:19638;mdf-date:01/02/2003,;label:musee de france
1518701,,Musée de la Haute Auvergne,open,2005,payant:3085;gratuit:2610;total:5695;mdf-date:01/02/2003,;label:musee de france
2126501,,Musée Noisot,open,2005,payant:367;gratuit:454;total:821;mdf-date:01/02/2003,;label:musee de france
2146401,,Musée Municipal,open,2005,payant:841;gratuit:1003;total:1844;mdf-date:01/02/2003,;label:musee de france
5819403,,Musée Archéologique du Nivernais (Porte du Croux),closed,2005,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
5822701,,Musée du Grès de Puisaye,open,2005,payant:3324;gratuit:0;total:3324;mdf-date:01/02/2003,;label:musee de france
7107601,,Musée Denon,open,2005,payant:1531;gratuit:9689;total:11220;mdf-date:01/02/2003,;label:musee de france
7113701,,Musée d'Art et d'Archéologie,open,2005,payant:81532;gratuit:21338;total:102870;mdf-date:01/02/2003,;label:musee de france
7115301,,Ecomusée de la Communauté Le Creusot-Monceau-Les-Mines,open,2005,payant:13847;gratuit:6360;total:20207;mdf-date:01/02/2003,;label:musee de france
