id,osm_id,name,city,country,country_code,status,year,stats,tags
6732401,,Maison de l'Archéologie des Vosges du Nord,NIEDERBRONN-LES-BAINS,France,fr,open,2014,payant:2008;gratuit:680;total:2688;mdf-date:01/02/2003,;label:musee de france
6748207,,Musée Historique,STRASBOURG,France,fr,open,2014,payant:20463;gratuit:26785;total:47248;mdf-date:01/02/2003,;label:musee de france
6748213,,Musée Tomi Ungerer,STRASBOURG,France,fr,open,2014,payant:20175;gratuit:20566;total:40741;mdf-date:18/04/2008,;label:musee de france
6755001,,Musée de la Bataille du 6 Août 1870,WOERTH,France,fr,open,2014,payant:0;gratuit:50;total:50;mdf-date:01/02/2003,;label:musee de france
6806603,,Musée Bartholdi,COLMAR,France,fr,open,2014,payant:12006;gratuit:6429;total:18435;mdf-date:01/02/2003,;label:musee de france
6806602,,Musée d'Histoire Naturelle et d'Ethnographie de Colmar,COLMAR,France,fr,open,2014,payant:10000;gratuit:8867;total:18867;mdf-date:01/02/2003,;label:musee de france
6822401,,Musée des Beaux-Arts,MULHOUSE,France,fr,open,2014,payant:0;gratuit:19548;total:19548;mdf-date:01/02/2003,;label:musee de france
6822409,,Musée Minéralogique de la Société Industrielle de Mulhouse,MULHOUSE,France,fr,closed,2014,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
6827702,,Musée du Dolder,RIQUEWIHR,France,fr,open,2014,payant:1622;gratuit:460;total:2082;mdf-date:01/02/2003,;label:musee de france
6827801,,Musée du Papier Peint,RIXHEIM,France,fr,open,2014,payant:7042;gratuit:4816;total:11858;mdf-date:01/02/2003,;label:musee de france
6834301,,Ecomusée d'Alsace,UNGERSHEIM,France,fr,open,2014,payant:138857;gratuit:57412;total:196269;mdf-date:01/02/2003,;label:musee de france
6834701,,Musée du Sapeur Pompier d'Alsace (Anciennement à Mulhouse),VIEUX FERRETTE,France,fr,open,2014,payant:6400;gratuit:0;total:6400;mdf-date:01/02/2003,;label:musee de france
2431101,,Musée Départemental de la Poupée et du Jouet,NONTRON,France,fr,closed,2014,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
2452002,,Musée de Sarlat et du Périgord Noir,SARLAT-LA-CANEDA,France,fr,closed,2014,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
3305701,,Musée Municipal de Blasimon,BLASIMON,France,fr,closed,2014,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
3306306,,Musée des Arts Décoratifs et du Design,BORDEAUX,France,fr,open,2014,payant:11004;gratuit:35036;total:46040;mdf-date:01/02/2003,;label:musee de france
3324302,,Musée Historique ou du Vieux Libourne (Robin),LIBOURNE,France,fr,closed,2014,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
3339401,,Musée d'Histoire et d'Archéologique,SAINT-EMILION,France,fr,closed,2014,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
4016701,,Atelier-Musée  (Ecomusée de la Grande Landes),LUXEY,France,fr,closed,2014,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
4019201,,Musée Despiau-Wlérick,MONT-DE-MARSAN,France,fr,open,2014,payant:0;gratuit:10722;total:10722;mdf-date:01/02/2003,;label:musee de france
4716701,,Musée du Liège et du Bouchon,MEZIN,France,fr,open,2014,payant:3365;gratuit:1157;total:4522;mdf-date:05/07/2006,;label:musee de france
4719501,,Musée du Château Henri IV,NERAC,France,fr,open,2014,payant:15201;gratuit:7518;total:22719;mdf-date:01/02/2003,;label:musee de france
4729201,,Musée de Préhistoire Mésolithique Laurent Coulonges,SAUVETERRE-LA-LEMANCE,France,fr,open,2014,payant:2709;gratuit:206;total:2915;mdf-date:01/02/2003,;label:musee de france
0331002,,Musée des Arts D'Afrique et D'Asie,VICHY,France,fr,open,2014,payant:2684;gratuit:1925;total:4609;mdf-date:01/02/2003,;label:musee de france
2611301,,Musée d'Histoire et d'Archéologie,DIE,France,fr,open,2014,payant:821;gratuit:2960;total:3781;mdf-date:01/02/2003,;label:musee de france
6311305,,Musée d'Art Roger-Quillot,CLERMONT-FERRAND,France,fr,open,2014,payant:6492;gratuit:26818;total:33310;mdf-date:01/02/2003,;label:musee de france
2100801,,Musée Alésia - Centre d'Interprétation,ALISE-SAINTE-REINE,France,fr,open,2014,payant:69949;gratuit:19318;total:89267;mdf-date:01/02/2003,;label:musee de france
2105401,,Musée du Vin de Bourgogne,BEAUNE,France,fr,open,2014,payant:15776;gratuit:3691;total:19467;mdf-date:01/02/2003,;label:musee de france
2123101,,Musée François Rude,DIJON,France,fr,open,2014,payant:0;gratuit:60071;total:60071;mdf-date:01/02/2003,;label:musee de france
2123104,,Musée des Beaux-Arts,DIJON,France,fr,open,2014,payant:0;gratuit:193733;total:193733;mdf-date:06/01/2002,;label:musee de france
2146401,,Musée Municipal,NUITS-SAINT-GEORGES,France,fr,open,2014,payant:104;gratuit:2975;total:3079;mdf-date:01/02/2003,;label:musee de france
5806202,,Musée du Costume,CHATEAU-CHINON,France,fr,open,2014,payant:3483;gratuit:1359;total:4842;mdf-date:01/02/2003,;label:musee de france
7104701,,Musée Saint-Nazaire,BOURBON-LANCY,France,fr,open,2014,payant:0;gratuit:1598;total:1598;mdf-date:01/02/2003,;label:musee de france
7107601,,Musée Denon,CHALON-SUR-SAONE,France,fr,open,2014,payant:0;gratuit:12705;total:12705;mdf-date:01/02/2003,;label:musee de france
7126301,,"""L'Atelier d'un Journal"""" de Louhans - Musée Municipal""",LOUHANS,France,fr,open,2014,payant:1496;gratuit:3531;total:5027;mdf-date:01/02/2003,;label:musee de france
7127002,,Musée Lamartine,MACON,France,fr,open,2014,payant:1440;gratuit:4032;total:5472;mdf-date:01/02/2003,;label:musee de france
7135101,,Ecomusée de la Bresse Bourguignonne,PIERRE-DE-BRESSE,France,fr,open,2014,payant:26033;gratuit:15560;total:41593;mdf-date:01/02/2003,;label:musee de france
7154302,,Musée Bourguignon -  Perrin de Puycousin,TOURNUS,France,fr,closed,2014,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
7154301,,Hôtel Dieu - Musée Greuze,TOURNUS,France,fr,open,2014,payant:8384;gratuit:1639;total:10023;mdf-date:01/02/2003,;label:musee de france
8938701,,Musée Muncipal,SENS,France,fr,open,2014,payant:6066;gratuit:25735;total:31801;mdf-date:01/02/2003,;label:musee de france
2922001,,Musée Bigouden,PONT-L'ABBE,France,fr,open,2014,payant:9153;gratuit:3892;total:13045;mdf-date:01/02/2003,;label:musee de france
3523801,,Musée de Bretagne,RENNES,France,fr,open,2014,payant:18428;gratuit:42992;total:61420;mdf-date:01/02/2003,;label:musee de france
5609001,,Ecomusée Industriel des Forges,INZINZAC-LOCHRIST,France,fr,open,2014,payant:1520;gratuit:1599;total:3119;mdf-date:01/02/2003,;label:musee de france
