id,osm_id,name,city,country,country_code,status,year,stats,tags
1302801,,Musée Ciotaden,LA CIOTAT,France,fr,open,2002,payant:3423;gratuit:5475;total:8898,;label:musee de france
1305001,,Musée Folklorique du Vieux Lambesc,LAMBESC,France,fr,open,2002,payant:469;gratuit:593;total:1062,;label:musee de france
1320402,,Muséum d'Histoire Naturelle,MARSEILLE,France,fr,open,2002,payant:6192;gratuit:30082;total:36274;mdf-date:06/01/2002,;label:musee de france
1310001,,Musée des Alpilles,SAINT-REMY-DE-PROVENCE,France,fr,closed,2002,payant:0;gratuit:0;total:,;label:musee de france
1310302,,Musée de Salon et de la Crau,SALON-DE-PROVENCE,France,fr,closed,2002,payant:0;gratuit:0;total:,;label:musee de france
8301901,,Musée des Arts et d’Histoire,BORMES-LES-MIMOSAS,France,fr,open,2002,payant:0;gratuit:11358;total:11358,;label:musee de france
8302301,,Musée du Pays Brignolais,BRIGNOLES,France,fr,open,2002,payant:2274;gratuit:2067;total:4341,;label:musee de france
8305002,,Musée de la Société d’Etudes Scientifiques et Achéologiques,DRAGUIGNAN,France,fr,open,2002,payant:0;gratuit:200;total:200,;label:musee de france
8306201,,Musée Jean Aicard,LE POUVEREL LA GARDE,France,fr,open,2002,payant:0;gratuit:1096;total:1096,;label:musee de france
8311801,,Musée Archéologique,SAINT-RAPHAËL,France,fr,open,2002,payant:6500;gratuit:600;total:7100,;label:musee de france
8313201,,Musée du Vêtement Provençal (Jean Aicard),SOLLIES-VILLE,France,fr,open,2002,payant:0;gratuit:3500;total:3500,;label:musee de france
8313701,,Muséum d'Histoire Naturelle de Toulon,TOULON,France,fr,open,2002,payant:0;gratuit:20368;total:20368,;label:musee de france
8400702,,Musée du Petit Palais,AVIGNON,France,fr,open,2002,payant:40353;gratuit:0;total:40353,;label:musee de france
8403501,,Synagogue Musée Juif Comtadin,CAVAILLON,France,fr,open,2002,payant:5456;gratuit:0;total:5456,;label:musee de france
8403503,,Musée Jouve,CAVAILLON,France,fr,closed,2002,payant:0;gratuit:0;total:,;label:musee de france
8413901,,Musée-Bibliothèque François Pétrarque,FONTAINE-DE-VAUCLUSE,France,fr,open,2002,payant:3028;gratuit:0;total:3028,;label:musee de france
8413701,,Musée Archéologique Théo Desplans,VAISON-LA-ROMAINE,France,fr,open,2002,payant:79352;gratuit:235;total:79587,;label:musee de france
8413801,,Musée Départemental du Cartonnage et de l'Imprimerie,VALREAS,France,fr,open,2002,payant:1844;gratuit:1978;total:3822,;label:musee de france
0701001,,Musée Vivarois César Filhol,ANNONAY,France,fr,open,2002,payant:1310;gratuit:1714;total:3024,;label:musee de france
0716801,,Cité de Préhistoire,ORGNAC-L'AVEN,France,fr,open,2002,payant:138817;gratuit:0;total:138817,;label:musee de france
0731601,,Musée et Site Archéologiques,SOYONS,France,fr,open,2002,payant:11410;gratuit:5590;total:17000,;label:musee de france
2621801,,Musée d'Art Sacré,MOURS SAINT-EUSEBE,France,fr,open,2002,payant:3165;gratuit:0;total:3165,;label:musee de france
7428001,,Musée des Vallées de Thônes,THONES,France,fr,open,2002,payant:2052;gratuit:1091;total:3143,;label:musee de france
7428102,,Musée du Chablais,THONON-LES-BAINS,France,fr,open,2002,payant:2813;gratuit:0;total:2813,;label:musee de france
3801201,,Musée Gallo-Romain,AOSTE,France,fr,open,2002,payant:3215;gratuit:1768;total:4983,;label:musee de france
3808201,,Musée - Parc Archéologique du Lac de Paladru,CHARAVINES,France,fr,open,2002,payant:9853;gratuit:0;total:9853,;label:musee de france
3818502,,Musée Dauphinois,GRENOBLE,France,fr,open,2002,payant:45893;gratuit:0;total:45893,;label:musee de france
3819001,,Maison du Patrimoine de Hières-sur-Amby,HIERES SUR AMBY,France,fr,open,2002,payant:3449;gratuit:0;total:3449,;label:musee de france
3800501,,Conservatoire - Musée des Industries Hydroélectriques,VAUJANY,France,fr,open,2002,payant:0;gratuit:12993;total:12993,;label:musee de france
4214701,,Musée d'Allard,MONTBRISON,France,fr,open,2002,payant:6831;gratuit:2717;total:9548,;label:musee de france
4221804,,Musée de la Mine / Site Couriot,SAINT-ETIENNE,France,fr,open,2002,payant:34120;gratuit:20387;total:54507,;label:musee de france
4227901,,Musée des Civilisations : Daniel Pouget,SAINT-JUST-SAINT-RAMBERT,France,fr,open,2002,payant:15906;gratuit:0;total:15906,;label:musee de france
6912301,,Musée Historique des Tissus,LYON,France,fr,open,2002,payant:69511;gratuit:24332;total:93843,;label:musee de france
