id,osm_id,name,status,year,stats,tags
6702101,,Musée de la Folie Marco,open,2008,payant:2187;gratuit:2339;total:4526;mdf-date:01/02/2003,;label:musee de france
6733901,,Musée de la Poterie,open,2008,payant:2828;gratuit:538;total:3366;mdf-date:01/02/2003,;label:musee de france
6718002,,Musée Alsacien,open,2008,payant:1418;gratuit:1329;total:2747;mdf-date:01/02/2003,;label:musee de france
6718001,,Musée Historique,open,2008,payant:1853;gratuit:3305;total:5158;mdf-date:01/02/2003,;label:musee de france
6732401,,Maison de l'Archéologie des Vosges du Nord,open,2008,payant:1962;gratuit:723;total:2685;mdf-date:01/02/2003,;label:musee de france
6743701,,Musée du Château des Rohan,open,2008,payant:8431;gratuit:5370;total:13801;mdf-date:01/02/2003,;label:musee de france
6748202,,Musée Archéologique,open,2008,payant:7720;gratuit:34574;total:42294;mdf-date:06/01/2002,;label:musee de france
6748213,,Musée Tomi Ungerer,open,2008,payant:25921;gratuit:34592;total:60513;mdf-date:18/04/2008,;label:musee de france
6803601,,Musée Gallo-Romain,open,2008,payant:866;gratuit:1950;total:2816;mdf-date:01/02/2003,;label:musee de france
6806603,,Musée Bartholdi,open,2008,payant:7062;gratuit:4246;total:11308;mdf-date:01/02/2003,;label:musee de france
6814901,,Musée Historique et Militaire de Huningue,open,2008,payant:375;gratuit:493;total:868;mdf-date:01/02/2003,;label:musee de france
6816401,,Musée du Vignoble et des Vins d'Alsace,open,2008,payant:4703;gratuit:0;total:4703;mdf-date:01/02/2003,;label:musee de france
6822401,,Musée des Beaux-Arts,open,2008,payant:0;gratuit:15615;total:15615;mdf-date:01/02/2003,;label:musee de france
6822403,,Musée National de l'Automobile - Collection Schlumpf,open,2008,payant:142277;gratuit:31912;total:174189;mdf-date:01/02/2003,;label:musee de france
2403701,,Musée du Tabac,open,2008,payant:2774;gratuit:1590;total:4364;mdf-date:01/02/2003,;label:musee de france
2431101,,Musée Départemental de la Poupée et du Jouet,closed,2008,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
2452002,,Musée de Sarlat et du Périgord Noir,closed,2008,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
3305701,,Musée Municipal de Blasimon,closed,2008,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
3306304,,Musée d'Aquitaine,open,2008,payant:8975;gratuit:102249;total:111224;mdf-date:06/01/2002,;label:musee de france
3306305,,Muséum d'Histoire Naturelle de Bordeaux,open,2008,payant:2486;gratuit:37250;total:39736;mdf-date:01/02/2003,;label:musee de france
3306310,,Musée Goupil,closed,2008,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
3306306,,Musée des Arts Décoratifs,open,2008,payant:7544;gratuit:28897;total:36441;mdf-date:01/02/2003,;label:musee de france
3306303,,Musée des Beaux-Arts,open,2008,payant:49945;gratuit:72235;total:122180;mdf-date:06/01/2002,;label:musee de france
3335201,,Musée Municipal,closed,2008,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
4019401,,Musée de la Chalosse,open,2008,payant:8921;gratuit:2903;total:11824;mdf-date:01/02/2003,;label:musee de france
4700101,,Musée des Beaux-Arts,open,2008,payant:7236;gratuit:11538;total:18774;mdf-date:01/02/2003,;label:musee de france
4732301,,Musée Municipal (Moulin de Gajac),open,2008,payant:4589;gratuit:5755;total:10344;mdf-date:01/02/2003,;label:musee de france
0304801,,Musée Charles-Louis Philippe,open,2008,payant:363;gratuit:17;total:380;mdf-date:01/02/2003,;label:musee de france
0318501,,Musée des Musiques Populaires - MuPop,open,2008,payant:1124;gratuit:6054;total:7178;mdf-date:01/02/2003,;label:musee de france
0319001,,Musée Anne de Beaujeu,open,2008,payant:2807;gratuit:4899;total:7706;mdf-date:01/02/2003,;label:musee de france
0319501,,Musée Rieckotter,open,2008,payant:546;gratuit:730;total:1276;mdf-date:01/02/2003,;label:musee de france
0327501,,Musée Municipal de Souvigny,open,2008,payant:5862;gratuit:2103;total:7965;mdf-date:01/02/2003,;label:musee de france
1501402,,Musée d'Art et d'Archéologie,open,2008,payant:1227;gratuit:15127;total:16354;mdf-date:01/02/2003,;label:musee de france
4311701,,Musée des Arts et Traditions Populaires de Haute Loire,open,2008,payant:9954;gratuit:1218;total:11172;mdf-date:01/02/2003,;label:musee de france
4316201,,Musée des Manufactures de Dentelles,open,2008,payant:5201;gratuit:2398;total:7599;mdf-date:22/04/2002,;label:musee de france
6319501,,Musée Départemental de la Céramique Gallo-Romaine,open,2008,payant:12110;gratuit:7062;total:19172;mdf-date:01/02/2003,;label:musee de france
6322301,,Musée Paléontologique,open,2008,payant:765;gratuit:95;total:860;mdf-date:01/02/2003,;label:musee de france
6324501,,Musée Lapidaire,open,2008,payant:295;gratuit:678;total:973;mdf-date:01/02/2003,;label:musee de france
6343001,,Musée Municipal de la Coutellerie,open,2008,payant:22200;gratuit:6361;total:28561;mdf-date:01/02/2003,;label:musee de france
