id,osm_id,name,status,year,stats,tags
0129001,,Musée du Vieux Pérouges,open,2017,payant:11564;gratuit:1006;total:12570;mdf-date:01/02/2003,;label:musee de france
0134301,,Musée de la Bresse - Domaine des Planons,open,2017,payant:9852;gratuit:7173;total:17025;mdf-date:01/02/2003,;label:musee de france
0113701,,Musée Départemental du Revermont,open,2017,payant:2661;gratuit:8032;total:10693;mdf-date:01/02/2003,;label:musee de france
0311801,,Musée Municipal de Gannat,open,2017,payant:722;gratuit:2589;total:3311;mdf-date:01/02/2003,;label:musee de france
0318501,,Musée des Musiques Populaires - MuPop,open,2017,payant:22887;gratuit:300;total:23187;mdf-date:01/02/2003,;label:musee de france
0731301,,Musée de la Batellerie du Rhône,open,2017,payant:817;gratuit:153;total:970;mdf-date:01/02/2003,;label:musee de france
0731601,,Musée et Site Archéologiques,open,2017,payant:11807;gratuit:1803;total:13610;mdf-date:01/02/2003,;label:musee de france
7415201,,Musée Léon Marès,open,2017,payant:22972;gratuit:1053;total:24025;mdf-date:01/02/2003,;label:musee de france
3815101,,Musée Géo-Charles,open,2017,payant:0;gratuit:2569;total:2569;mdf-date:01/02/2003,;label:musee de france
3818508,,Musée de la Résistance de la Déportation de l'Isère,open,2017,payant:0;gratuit:27661;total:27661;mdf-date:01/02/2003,;label:musee de france
3818505,,Musée de Grenoble,open,2017,payant:69698;gratuit:115248;total:184946;mdf-date:06/01/2002,;label:musee de france
3800501,,Conservatoire - Musée des Industries Hydroélectriques,open,2017,payant:0;gratuit:8397;total:8397;mdf-date:01/02/2003,;label:musee de france
3854402,,Musée Lapidaire Saint-Pierre,open,2017,payant:3369;gratuit:7294;total:10663;mdf-date:01/02/2003,;label:musee de france
4205203,,Musée Hospitalier,open,2017,payant:2630;gratuit:837;total:3467;mdf-date:01/02/2003,;label:musee de france
4209401,,Musée d'Archéologie,open,2017,payant:1622;gratuit:2873;total:4495;mdf-date:01/02/2003,;label:musee de france
4217301,,Musée du Vieux Pommiers,open,2017,payant:0;gratuit:70;total:70;mdf-date:01/02/2003,;label:musee de france
4221901,,Château de la Bastie d'Urfé,open,2017,payant:7721;gratuit:18079;total:25800;mdf-date:01/02/2003,;label:musee de france
6301001,,Musée de la Dentelle,open,2017,payant:1213;gratuit:133;total:1346;mdf-date:01/02/2003,;label:musee de france
6311301,,Musée d'Archéologie Bargoin,open,2017,payant:3857;gratuit:21238;total:25095;mdf-date:01/02/2003,;label:musee de france
