id,osm_id,name,city,country,country_code,status,year,stats,tags
8212102,,Musée Ingres,MONTAUBAN,France,fr,open,2009,payant:25548;gratuit:32024;total:57572;mdf-date:06/01/2002,label:musee de france
5901401,,Musée Théophile Jouglet,ANZIN,France,fr,open,2009,payant:0;gratuit:2014;total:2014;mdf-date:01/02/2003,label:musee de france
5906701,,Musée du Mont-de-Piété,BERGUES,France,fr,open,2009,payant:1409;gratuit:925;total:2334;mdf-date:01/02/2003,label:musee de france
5917201,,Musée d'Archéologie et d'Histoire Locale,DENAIN,France,fr,open,2009,payant:0;gratuit:2600;total:2600;mdf-date:01/02/2003,label:musee de france
5927301,,Musée du Dessin et de l'Estampe Originale,GRAVELINES,France,fr,open,2009,payant:2213;gratuit:7938;total:10151;mdf-date:01/02/2003,label:musee de france
5939201,,Musée Henri Boez,MAUBEUGE,France,fr,closed,2009,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
5955501,,Musée du Verre,SARS-POTERIES,France,fr,open,2009,payant:3760;gratuit:6998;total:10758;mdf-date:01/02/2003,label:musee de france
5959901,,Musée d'Art et d'Industrie,TOURCOING,France,fr,open,2009,payant:0;gratuit:39900;total:39900;mdf-date:01/02/2003,label:musee de france
5960601,,Musée des Beaux-Arts,VALENCIENNES,France,fr,open,2009,payant:39238;gratuit:0;total:39238;mdf-date:06/01/2002,label:musee de france
6210801,,Musée Communautaire Opale-Sud,BERCK-SUR-MER,France,fr,open,2009,payant:2757;gratuit:7149;total:9906;mdf-date:05/04/2002,label:musee de france
6219301,,Musée des Beaux-Arts et de la Dentelle,CALAIS,France,fr,open,2009,payant:1911;gratuit:12462;total:14373;mdf-date:01/02/2003,label:musee de france
6231801,,Musée Quentovic,ETAPLES-SUR-MER,France,fr,open,2009,payant:2277;gratuit:464;total:2741;mdf-date:01/02/2003,label:musee de france
1411801,,Musée des Beaux-Arts,CAEN,France,fr,open,2009,payant:5556;gratuit:56653;total:62209;mdf-date:06/01/2002,label:musee de france
5011001,,Musée de l'Abbaye,CERISY-LA-FORET,France,fr,open,2009,payant:5750;gratuit:1028;total:6778;mdf-date:01/02/2003,label:musee de france
5012902,,Musée Thomas Henry,CHERBOURG-EN-COTENTIN,France,fr,open,2009,payant:0;gratuit:30554;total:30554;mdf-date:01/02/2003,label:musee de france
5017301,,Musée Municipal,CHERBOURG-EN-COTENTIN,France,fr,open,2009,payant:0;gratuit:2920;total:2920;mdf-date:01/02/2003,label:musee de france
5050203,,"Musée du Bocage Normand, ferme du bois Jugan",SAINT-LO,France,fr,open,2009,payant:2370;gratuit:3801;total:6171;mdf-date:01/02/2003,label:musee de france
5056201,,Musée Maritime de l'Ile de Tatihou,SAINT-VAAST-LA-HOUGUE,France,fr,open,2009,payant:55919;gratuit:5032;total:60951;mdf-date:01/02/2003,label:musee de france
5061501,,Musée Régional du Cidre et du Calvados,VALOGNES,France,fr,open,2009,payant:6190;gratuit:1265;total:7455;mdf-date:01/02/2003,label:musee de france
5063901,,Musée de la Poeslerie,VILLEDIEU-LES-POELES-ROUFFIGNY,France,fr,open,2009,payant:10397;gratuit:676;total:11073;mdf-date:01/02/2003,label:musee de france
6146401,,Musée Départemental d'Art Sacré,SEES,France,fr,open,2009,payant:768;gratuit:0;total:768;mdf-date:01/02/2003,label:musee de france
2722901,,Musée de l'Ancien Evêché,EVREUX,France,fr,open,2009,payant:0;gratuit:19499;total:19499;mdf-date:01/02/2003,label:musee de france
7605701,,Musée Municipal,BARENTIN,France,fr,closed,2009,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
7615701,,Pavillon Flaubert,CANTELEU,France,fr,open,2009,payant:0;gratuit:827;total:827;mdf-date:01/02/2003,label:musee de france
7616401,,Museoseine,CAUDEBEC-EN-CAUX,France,fr,open,2009,payant:2836;gratuit:1310;total:4146;mdf-date:01/02/2003,label:musee de france
7625902,,Musée des Arts & de l'Enfance,FECAMP,France,fr,closed,2009,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
7638401,,"Juliobona, Musée Gallo-Romain de Lillebonne",LILLEBONNE,France,fr,open,2009,payant:391;gratuit:1626;total:2017;mdf-date:01/02/2003,label:musee de france
7645201,,Musée des Sapeurs-Pompiers de France,MONTVILLE,France,fr,open,2009,payant:6537;gratuit:1458;total:7995;mdf-date:01/02/2003,label:musee de france
7646201,,Musée Mathon-Durand,NEUFCHATEL-EN-BRAY,France,fr,open,2009,payant:485;gratuit:2033;total:2518;mdf-date:01/02/2003,label:musee de france
7647301,,Ecomusée de la Basse-Seine,NOTRE-DAME-DE-BLIQUETUIT,France,fr,open,2009,payant:17752;gratuit:3255;total:21007;mdf-date:01/02/2003,label:musee de france
7647401,,Musée Industriel de la Corderie Vallois,NOTRE-DAME-DE-BONDEVILLE,France,fr,open,2009,payant:2155;gratuit:7636;total:9791;mdf-date:01/02/2003,label:musee de france
7654002,,MUNAE - Musée National de l'Education,ROUEN,France,fr,open,2009,payant:2587;gratuit:10627;total:13214;mdf-date:06/01/2002,label:musee de france
4900708,,Muséum des Sciences Naturelles,ANGERS,France,fr,open,2009,payant:3228;gratuit:12797;total:16025;mdf-date:01/02/2003,label:musee de france
