id,osm_id,name,city,country,country_code,status,year,stats,tags
2505605,,Musée de la résistance et de la Déportation,BESANCON,France,fr,open,2007,payant:62073;gratuit:0;total:62073;mdf-date:01/02/2003,label:musee de france
7027901,,Musée Baron Martin,GRAY,France,fr,open,2007,payant:6312;gratuit:0;total:6312;mdf-date:01/02/2003,label:musee de france
3930002,,Musée des Beaux-Arts,LONS-LE-SAUNIER,France,fr,open,2007,payant:878;gratuit:3363;total:4241;mdf-date:01/02/2003,label:musee de france
3943401,,Musée Municipal de Poligny,POLIGNY,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
9712002,,Musée Départemental Victor Schoelcher,POINTE-A-PITRE,France,fr,open,2007,payant:3100;gratuit:779;total:3879;mdf-date:01/02/2003,label:musee de france
9730201,,Musée Territorial Alexandre Franconie,CAYENNE,France,fr,open,2007,payant:2359;gratuit:2715;total:5074;mdf-date:01/02/2003,label:musee de france
9122301,,Musée Intercommunal d'Etampes,ETAMPES,France,fr,open,2007,payant:972;gratuit:7527;total:8499;mdf-date:01/02/2003,label:musee de france
9201204,,Musée Belmondo et de la Sculpture Figurative du XXè siècle,BOULOGNE-BILLANCOURT,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:2007-03-15 00:00:00,label:musee de france
9201201,,Musée des Années Trente,BOULOGNE-BILLANCOURT,France,fr,open,2007,payant:28005;gratuit:0;total:28005;mdf-date:01/02/2003,label:musee de france
9204001,,Musée Français de la Carte à Jouer,ISSY-LES-MOULINEAUX,France,fr,open,2007,payant:3296;gratuit:12764;total:16060;mdf-date:01/02/2003,label:musee de france
9206303,,Musée d'Histoire Locale - Mémoire de la Ville,RUEIL-MALMAISON,France,fr,open,2007,payant:0;gratuit:2694;total:2694;mdf-date:01/02/2003,label:musee de france
9206301,,Musée National des Châteaux de Malmaison et de Bois-Préau,RUEIL-MALMAISON,France,fr,open,2007,payant:35524;gratuit:25158;total:60682;mdf-date:06/01/2002,label:musee de france
7510508,,Galerie d'Anatomie Comparée et de Paléontologie (Muséum d'Histoire Naturelle),PARIS,France,fr,open,2007,payant:189700;gratuit:50755;total:240455;mdf-date:06/01/2002,label:musee de france
7510512,,Galerie d’entomologie (Muséum national d'histoire naturelle),PARIS,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:06/01/2002,label:musee de france
7511605,,Musée National des Arts et des Traditions Populaires (MuCem),PARIS,France,fr,open,2007,payant:6342;gratuit:19238;total:25580;mdf-date:06/01/2002,label:musee de france
7510405,,Maison de Victor Hugo,PARIS,France,fr,open,2007,payant:18398;gratuit:111464;total:129862;mdf-date:08/07/2004,label:musee de france
7510602,,Musée National Eugène Delacroix,PARIS,France,fr,open,2007,payant:28509;gratuit:9916;total:38425;mdf-date:06/01/2002,label:musee de france
7511701,,Musée National Jean-Jacques Henner,PARIS,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:06/01/2002,label:musee de france
7510701,,Musée de l'Armée,PARIS,France,fr,open,2007,payant:891167;gratuit:251204;total:1142371;mdf-date:06/01/2002,label:musee de france
7510501,,Musée du Moyen Age-Thermes et Hôtel de Cluny,PARIS,France,fr,open,2007,payant:165405;gratuit:128570;total:293975;mdf-date:06/01/2002,label:musee de france
7510517,,Musée de l'Assistance Publique - Hôpitaux de Paris,PARIS,France,fr,open,2007,payant:10032;gratuit:6139;total:16171;mdf-date:02/10/2002,label:musee de france
7510402,,Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou),PARIS,France,fr,open,2007,payant:2696857;gratuit:0;total:2696857;mdf-date:06/01/2002,label:musee de france
